True Gesture,Predicted Gesture,Mistakes
121,171,2
12,9,2
61,78,2
76,79,2
25,161,2
171,50,2
144,146,1
149,139,1
148,202,1
147,196,1
145,169,1
142,99,1
153,135,1
140,116,1
136,161,1
