True Gesture,Predicted Gesture,Mistakes
12,9,2
45,192,2
5,62,1
158,180,1
116,142,1
120,134,1
121,1,1
121,171,1
125,152,1
129,167,1
150,159,1
165,88,1
161,53,1
112,111,1
166,169,1
