,precision,recall,f1-score,support
143,1.0,1.0,1.0,2.0
144,1.0,1.0,1.0,2.0
145,1.0,1.0,1.0,2.0
146,1.0,1.0,1.0,2.0
147,1.0,1.0,1.0,2.0
148,1.0,1.0,1.0,2.0
149,1.0,1.0,1.0,2.0
150,0.5,0.5,0.5,2.0
151,1.0,1.0,1.0,2.0
152,0.6666666666666666,1.0,0.8,2.0
153,1.0,1.0,1.0,2.0
154,1.0,1.0,1.0,2.0
155,1.0,1.0,1.0,2.0
156,1.0,1.0,1.0,2.0
157,0.6666666666666666,1.0,0.8,2.0
158,1.0,0.5,0.6666666666666666,2.0
159,0.6666666666666666,1.0,0.8,2.0
160,1.0,1.0,1.0,2.0
161,1.0,0.5,0.6666666666666666,2.0
162,1.0,1.0,1.0,2.0
163,1.0,1.0,1.0,2.0
164,1.0,1.0,1.0,2.0
165,0.3333333333333333,0.5,0.4,2.0
166,1.0,0.5,0.6666666666666666,2.0
167,0.6666666666666666,1.0,0.8,2.0
168,1.0,1.0,1.0,2.0
169,0.6666666666666666,1.0,0.8,2.0
170,1.0,1.0,1.0,2.0
171,0.5,0.5,0.5,2.0
172,1.0,1.0,1.0,2.0
173,1.0,1.0,1.0,2.0
174,1.0,0.5,0.6666666666666666,2.0
175,1.0,1.0,1.0,2.0
176,1.0,1.0,1.0,2.0
177,1.0,1.0,1.0,2.0
178,1.0,1.0,1.0,2.0
179,1.0,0.5,0.6666666666666666,2.0
180,0.6666666666666666,1.0,0.8,2.0
181,1.0,1.0,1.0,2.0
182,1.0,0.5,0.6666666666666666,2.0
183,0.6666666666666666,1.0,0.8,2.0
184,1.0,1.0,1.0,2.0
185,1.0,1.0,1.0,2.0
186,1.0,1.0,1.0,2.0
187,1.0,1.0,1.0,2.0
188,1.0,1.0,1.0,2.0
189,1.0,1.0,1.0,2.0
190,1.0,1.0,1.0,2.0
191,1.0,1.0,1.0,2.0
192,0.5,1.0,0.6666666666666666,2.0
193,1.0,1.0,1.0,2.0
194,1.0,0.5,0.6666666666666666,2.0
195,1.0,1.0,1.0,2.0
196,0.6666666666666666,1.0,0.8,2.0
197,1.0,1.0,1.0,2.0
198,1.0,1.0,1.0,2.0
199,1.0,1.0,1.0,2.0
200,1.0,1.0,1.0,2.0
201,1.0,1.0,1.0,2.0
202,1.0,0.5,0.6666666666666666,2.0
203,0.6666666666666666,1.0,0.8,2.0
204,1.0,1.0,1.0,2.0
205,1.0,1.0,1.0,2.0
206,1.0,1.0,1.0,2.0
207,1.0,1.0,1.0,2.0
208,1.0,1.0,1.0,2.0
209,1.0,1.0,1.0,2.0
accuracy,0.8976190476190476,0.8976190476190476,0.8976190476190476,0.8976190476190476
macro avg,0.9122222222222222,0.8976190476190476,0.8878004535147392,420.0
weighted avg,0.9122222222222222,0.8976190476190476,0.8878004535147392,420.0
